"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","4357d25d-8bef-4635-86a6-f3904441738c","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-001-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","1","",""
"Image","1","1","0c75665a-7f4d-4b02-a4f8-9b280b67c288","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-002-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","2","",""
"Image","2","1","8208d4c2-9da8-4b25-9296-87f6b173cf8f","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-003-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","3","",""
"Image","3","1","5c6291cb-501b-4a7d-8b79-5e06e2c8a65d","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-004-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","4","",""
"Image","4","1","d896245b-d9c5-4e76-a80b-e6ed5123258a","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-005-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","5","",""
"Image","5","1","ab2453a5-9b7a-47c1-a562-8641cfe542e2","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-006-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","6","",""
"Image","6","1","b927f8ae-048d-48de-adb1-67ae97513750","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-007-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","7","",""
"Image","7","1","d7a68b20-2749-40d5-a3f3-9533f130a2b1","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-008-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","8","",""
"Image","8","1","aca55b5f-ab75-4a58-8848-03b00e216985","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-009-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","9","",""
"Image","9","1","33576678-87a7-4e77-a7f9-b8038c1a15bc","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-010-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","10","",""
"Image","10","1","7ef053fc-a28b-43cf-a3dd-732a5dc3bc6f","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-011-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","11","",""
"Image","11","1","978eca4a-4e3c-419d-a88c-19caac49cbe3","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-012-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","12","",""
"Image","12","1","e26c97f5-b15f-49dd-9068-921aa05e2998","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-013-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","13","",""
"Image","13","1","ba8da1d9-2eb1-42c0-bb0e-00e9f7175d07","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-014-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","14","",""
"Image","14","1","ca32da00-9070-41b6-970c-b337f90b197e","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-015-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","15","",""
"Image","15","1","23884a31-816f-49a8-a5c3-b4cb062ba83f","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/124450587/124450587-016-ac.jpg","","ratified-indian-treaties","124450587","","","","-1","16","",""
