"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","dffb12c6-3d00-474e-bf24-ca1f2b43d200","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-001_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","1","",""
"Image","1","1","3aeae88d-bbed-47de-99a3-558f1e31c21c","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-002_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","2","",""
"Image","2","1","c55afaa2-bb1a-4229-ac3b-197a4ca55eae","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-003_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","3","",""
"Image","3","1","f96df96b-3493-4a8a-94a9-4d8e20abf05c","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-004_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","4","",""
"Image","4","1","e618a9aa-d123-424f-9818-c1bb02992523","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-005_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","5","",""
"Image","5","1","0602bc17-f301-463c-b289-4b916f2d0a57","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-006_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","6","",""
"Image","6","1","b0b7294e-f0df-4ef5-9d03-0edb641a2faa","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-007_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","7","",""
"Image","7","1","4fad3be3-7711-4ad9-8470-baf83c0de0f1","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-008_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","8","",""
"Image","8","1","2dee3451-53cc-454c-aff7-a73e7b816c8d","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-009_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","9","",""
"Image","9","1","4c9c5745-538f-4b06-b3eb-36f2092bedcf","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-010_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","10","",""
"Image","10","1","10c85126-74f0-4e00-9488-0c527be40e6c","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-011_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","11","",""
"Image","11","1","ead192d7-fc4c-463f-b6c5-d6d98b2b63aa","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-012_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","12","",""
"Image","12","1","c0f90fef-1407-4539-98d2-a9c282f60896","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-013_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","13","",""
"Image","13","1","6e6c1850-6471-474e-b375-5d561b21d177","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-014_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","14","",""
"Image","14","1","0d3c2e1f-cfa5-4b58-9f70-e3b7ffc86805","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-015_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","15","",""
"Image","15","1","b2c1a087-0721-4b1c-845b-1dee86ef6892","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-016_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","16","",""
"Image","16","1","d06a58bf-9cb4-45c4-88b1-6bfc3b2c4a4a","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170231456/170231456-017_ac.jpg","","ratified-indian-treaties","170231456","","","","-1","17","",""
