"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","98d7343c-4fc0-4576-be39-fe451e53feef","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/70168731/70168731-001_ac.jpg","","ratified-indian-treaties","70168731","","","","-1","1","",""
"Image","1","1","a654cabe-8813-4baf-bd39-cf4616e44098","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/70168731/70168731-002_ac.jpg","","ratified-indian-treaties","70168731","","","","-1","2","",""
"Image","2","1","d7c7f574-c683-4e71-9245-328897517062","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/70168731/70168731-003_ac.jpg","","ratified-indian-treaties","70168731","","","","-1","3","",""
"Image","3","1","38afdde9-af34-408d-bce0-af51c8d5722a","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/70168731/70168731-004_ac.jpg","","ratified-indian-treaties","70168731","","","","-1","4","",""
"Image","4","1","da388185-39b7-4ab4-8e88-7adb9c8d37bc","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/70168731/70168731-005_ac.jpg","","ratified-indian-treaties","70168731","","","","-1","5","",""
"Image","5","1","4a8ae8f5-00b9-4b12-8c53-d26ec484474c","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/70168731/70168731-006_ac.jpg","","ratified-indian-treaties","70168731","","","","-1","6","",""
"Image","6","1","793fbcd3-7f39-4f7f-a709-eaf4bfdc55f4","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/70168731/70168731-007_ac.jpg","","ratified-indian-treaties","70168731","","","","-1","7","",""
"Image","7","1","2874d864-3a72-4146-a39f-c9e2ba56774a","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/70168731/70168731-008_ac.jpg","","ratified-indian-treaties","70168731","","","","-1","8","",""
"Image","8","1","f6d1e10a-e24b-4aae-874c-6757938f6d11","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/70168731/70168731-009_ac.jpg","","ratified-indian-treaties","70168731","","","","-1","9","",""
"Image","9","1","794f2050-39c7-4a5d-928f-79532c095577","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/70168731/70168731-010_ac.jpg","","ratified-indian-treaties","70168731","","","","-1","10","",""
"Image","10","1","c5ed8af8-99a9-46d3-b01c-1e6f5c9b4c86","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/70168731/70168731-011_ac.jpg","","ratified-indian-treaties","70168731","","","","-1","11","",""
"Image","11","1","eae6d536-07a7-4a38-917f-c83101397212","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/70168731/70168731-012_ac.jpg","","ratified-indian-treaties","70168731","","","","-1","12","",""
"Image","12","1","646b5f28-4e60-43da-aa1d-0e9e2e250f8c","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/70168731/70168731-013_ac.jpg","","ratified-indian-treaties","70168731","","","","-1","13","",""
"Image","13","1","ab410bb7-d8e5-4597-bfb1-b2186f274342","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/70168731/70168731-014_ac.jpg","","ratified-indian-treaties","70168731","","","","-1","14","",""
"Image","14","1","67cc9078-893e-4c2f-aad0-213963644983","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/70168731/70168731-015_ac.jpg","","ratified-indian-treaties","70168731","","","","-1","15","",""
