"Type","Line","Space","ID","Origin","InitialOrigin","Reference1","Reference2","Reference3","Tags","Roles","MaxUnauthorised","NumberReference1","NumberReference2","NumberReference3"
"Image","0","1","87012c5b-8b33-4f81-b702-fc3269bf0c10","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170281429/170281429-001_ac.jpg","","ratified-indian-treaties","170281429","","","","-1","1","",""
"Image","1","1","53b79b56-10f5-4538-875f-dfa2a76006cc","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170281429/170281429-002_ac.jpg","","ratified-indian-treaties","170281429","","","","-1","2","",""
"Image","2","1","830b6631-8b6a-4879-a2d3-1d241e1ba61f","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170281429/170281429-003_ac.jpg","","ratified-indian-treaties","170281429","","","","-1","3","",""
"Image","3","1","95f9d6b4-d3f2-45ea-8408-4fa7bc57b215","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170281429/170281429-004_ac.jpg","","ratified-indian-treaties","170281429","","","","-1","4","",""
"Image","4","1","08e6aee4-6ebc-4761-9a76-c5c325b06000","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170281429/170281429-005_ac.jpg","","ratified-indian-treaties","170281429","","","","-1","5","",""
"Image","5","1","31f444e1-ece1-446a-8445-98d9d855e5ae","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170281429/170281429-006_ac.jpg","","ratified-indian-treaties","170281429","","","","-1","6","",""
"Image","6","1","c01d138f-08ed-4121-8f35-fc5c160f4c60","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170281429/170281429-007_ac.jpg","","ratified-indian-treaties","170281429","","","","-1","7","",""
"Image","7","1","6e36dd27-76e5-4810-af56-a9b7cfdd5168","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170281429/170281429-008_ac.jpg","","ratified-indian-treaties","170281429","","","","-1","8","",""
"Image","8","1","b3590844-dcc1-4905-b4bb-565d192d3b46","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170281429/170281429-009_ac.jpg","","ratified-indian-treaties","170281429","","","","-1","9","",""
"Image","9","1","34f2c6fb-5461-486d-9b9b-099ad1c1917c","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170281429/170281429-010_ac.jpg","","ratified-indian-treaties","170281429","","","","-1","10","",""
"Image","10","1","1e716720-a06d-4df1-8a42-d2de358273f1","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170281429/170281429-011_ac.jpg","","ratified-indian-treaties","170281429","","","","-1","11","",""
"Image","11","1","64a59072-a8ba-45fa-8245-e521cd1cd16c","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170281429/170281429-012_ac.jpg","","ratified-indian-treaties","170281429","","","","-1","12","",""
"Image","12","1","947f6232-f04e-478d-b1dd-3bcf15a7d44e","https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-011/299798/RIT_March_2020/170281429/170281429-013_ac.jpg","","ratified-indian-treaties","170281429","","","","-1","13","",""
