TribalCededLandsNewOBJECTID,TribalCededLandsNewCESSNUM,TribalCededLandsNewCESSNUMSORT,TribalCededLandsNewSHAPE_Length,TribalCededLandsNewSHAPE_Area,TribalCededLandsTableOBJECTID,TribalCededLandsTableCessNum,TribalCededLandsTableCessNumSort,TribalCededLandsTableMapName,TribalCededLandsTableState,TribalCededLandsTableCounty,TribalCededLandsTableStateCounty,TribalCededLandsTableSchdTrb,TribalCededLandsTablePresDayTrb,TribalCededLandsTableCitation1,TribalCededLandsTableCitation2,TribalCededLandsTableCessDate1,TribalCededLandsTableDate1Link_Royce_Schedule,TribalCededLandsTableDate1Link_Kappler_Treaty,TribalCededLandsTableCessDate2,TribalCededLandsTableDate2Link_Royce_Schedule,TribalCededLandsTableDate2Link_Kappler_Treaty,TribalCededLandsTableCessDate3,TribalCededLandsTableDate3Link_Royce_Schedule,TribalCededLandsTableDate3Link_Kappler_Treaty,TribalCededLandsTableCessDate4,TribalCededLandsTableDate4Link_Royce_Schedule,TribalCededLandsTableDate4Link_Kappler_Treaty,TribalCededLandsTableCessDate5,TribalCededLandsTableDate5Link_Royce_Schedule,TribalCededLandsTableDate5Link_Kappler_Treaty,TribalCededLandsTableMapName1,TribalCededLandsTableMapName2,TribalCededLandsTableMapName3,TribalCededLandsTableMapName4,TribalCededLandsTableMapName5,TribalCededLandsTableMapName6,TribalCededLandsTableMapURL1,TribalCededLandsTableMapURL2,TribalCededLandsTableMapURL3,TribalCededLandsTableMapURL4,TribalCededLandsTableMapURL5,TribalCededLandsTableMapURL6,TribalCededLandsTableLink_Federal_Statute,TribalCededLandsTableLink_Executive_Order,TribalCededLandsTableLink_Other_Treaty
1,261,261,2293106.80893478,165085143431.94,57,261,261,"Wisconsin 1, Michigan 1","MI; WI","Ashland; Baraga; Bayfield; Delta; Dickinson; Douglas; Florence; Forest; Gogebic; Houghton; Iron; Keweenaw; Langlade; Marinette; Marquette; Menominee; Oconto; Oneida; Ontonagon; Price; Shawano; Vilas","MI:Baraga; MI:Delta; MI:Dickinson; MI:Gogebic; MI:Houghton; MI:Iron; MI:Keweenaw; MI:Marquette; MI:Menominee; MI:Ontonagon; WI:Ashland; WI:Bayfield; WI:Douglas; WI:Florence; WI:Forest; WI:Iron; WI:Langlade; WI:Marinette; WI:Menominee; WI:Oconto; WI:Oneida; WI:Price; WI:Shawano; WI:Vilas",Chippewa of the Mississippi and Lake Superior,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; White Earth Band of Minnesota Chippewa Tribe, Minnesota","Tiller 787; Tiller 795",Trigger 745,1842/10/04 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/776/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=550",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Wisconsin 1,Michigan 1,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=64,https://www.loc.gov/resource/g3701em.gct00002/?sp=29,,,,,,,
2,205,205,2455360.59523006,203769454642.89,58,205,205,Michigan 1,MI,"Alger; Alpena; Antrim; Benzie; Charlevoix; Cheboygan; Chippewa; Clare; Crawford; Delta; Emmet; Grand Traverse; Ionia; Isabella; Kalkaska; Kent; Lake; Leelanau; Luce; Mackinac; Manistee; Marquette; Mason; Mecosta; Missaukee; Montcalm; Montmorency; Newaygo; Oceana; Osceola; Oscoda; Otsego; Ottawa; Presque Isle; Roscommon; Schoolcraft; Wexford","MI:Alger; MI:Alpena; MI:Antrim; MI:Benzie; MI:Charlevoix; MI:Cheboygan; MI:Chippewa; MI:Clare; MI:Crawford; MI:Delta; MI:Emmet; MI:Grand Traverse; MI:Ionia; MI:Isabella; MI:Kalkaska; MI:Kent; MI:Lake; MI:Leelanau; MI:Luce; MI:Mackinac; MI:Manistee; MI:Marquette; MI:Mason; MI:Mecosta; MI:Missaukee; MI:Montcalm; MI:Montmorency; MI:Newaygo; MI:Oceana; MI:Osceola; MI:Oscoda; MI:Otsego; MI:Ottawa; MI:Presque Isle; MI:Roscommon; MI:Schoolcraft; MI:Wexford","Chippewa; Ottawa","Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Chippewa Cree Indians of the Rocky Boy's Reservation, Montana; Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota; Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Keweenaw Bay Indian Community, Michigan; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Minnesota Chippewa Tribe, Minnesota; Ottawa Tribe of Oklahoma; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; Red Lake Band of Chippewa Indians, Minnesota; Saginaw Chippewa Indian Tribe of Michigan; Sault Ste. Marie Tribe of Chippewa Indians of Michigan; Sokaogon Chippewa Community, Wisconsin; St. Croix Chippewa Indians of Wisconsin; Turtle Mountain Band of Chippewa Indians of North Dakota; White Earth Band of Minnesota Chippewa Tribe, Minnesota","Tiller 427; Tiller 428; Tiller 431; Tiller 433; Tiller 434; Tiller 443; Tiller 445; Tiller 447; Tiller 449; Tiller 451; Tiller 455; Tiller 460; Tiller 464; Tiller 488; Tiller 597; Tiller 787; Tiller 793; Tiller 795; Tiller 802; Tiller 807; Tiller 809",Trigger 745,1836/03/28 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/756/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=458",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Michigan 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=29,,,,,,,,
3,112,112,95655.955438329,240879952.112112,1,112,112,Michigan 1,MI,Chippewa,MI:Chippewa,Chippewa,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Chippewa Cree Indians of the Rocky Boy's Reservation, Montana; Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota; Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Keweenaw Bay Indian Community, Michigan; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Minnesota Chippewa Tribe, Minnesota; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; Red Lake Band of Chippewa Indians, Minnesota; Saginaw Chippewa Indian Tribe of Michigan; Sault Ste. Marie Tribe of Chippewa Indians of Michigan; Sokaogon Chippewa Community, Wisconsin; St. Croix Chippewa Indians of Wisconsin; Turtle Mountain Band of Chippewa Indians of North Dakota; White Earth Band of Minnesota Chippewa Tribe, Minnesota","Tiller 427; Tiller 428; Tiller 431; Tiller 433; Tiller 434; Tiller 443; Tiller 445; Tiller 447; Tiller 449; Tiller 451; Tiller 455; Tiller 460; Tiller 464; Tiller 488; Tiller 597; Tiller 787; Tiller 793; Tiller 795; Tiller 802; Tiller 807; Tiller 809",Trigger 745,1820/06/16 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/700/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=195",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Michigan 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=29,,,,,,,,
4,23,23,86814.1053656019,228017983.974237,2,23,23,Michigan 1,MI,Mackinac,MI:Mackinac,"Chippewa; Delaware; Eel River; Kaskaskia; Kickapoo; Miami; Ottawa; Piankishaw; Potawatomi; Shawnee; Wea; Wyandot","Absentee-Shawnee Tribe of Indians of Oklahoma; Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Chippewa Cree Indians of the Rocky Boy's Reservation, Montana; Citizen Potawatomi Nation, Oklahoma; Delaware Nation, Oklahoma; Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota; Forest County Potawatomi Community, Wisconsin; Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Hannahville Indian Community, Michigan; Keweenaw Bay Indian Community, Michigan; Kickapoo Traditional Tribe of Texas; Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas; Kickapoo Tribe of Oklahoma; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan; Miami Tribe of Oklahoma; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Minnesota Chippewa Tribe, Minnesota; Nottawaseppi Huron Band of the Potawatomi, Michigan; Ottawa Tribe of Oklahoma; Peoria Tribe of Indians of Oklahoma; Pokagon Band of Potawatomi Indians, Michigan and Indiana; Prairie Band Potawatomi Nation, Kansas; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; Red Lake Band of Chippewa Indians, Minnesota; Saginaw Chippewa Indian Tribe of Michigan; Sault Ste. Marie Tribe of Chippewa Indians of Michigan; Shawnee Tribe, Oklahoma; Sokaogon Chippewa Community, Wisconsin; St. Croix Chippewa Indians of Wisconsin; Turtle Mountain Band of Chippewa Indians of North Dakota; White Earth Band of Minnesota Chippewa Tribe, Minnesota; Wyandotte Nation, Oklahoma","1 Hodge 661-62; 2 Hodge 977; 1 Hodge 589-90; Clark 64; Tiller 402; Tiller 404; Tiller 427; Tiller 428; Tiller 430; Tiller 431; Tiller 433; Tiller 434; Tiller 439; Tiller 440; Tiller 441; Tiller 443; Tiller 445; Tiller 447; Tiller 449; Tiller 451; Tiller 455; Tiller 460; Tiller 464; Tiller 488; Tiller 597; Tiller 601; Tiller 616; Tiller 623; Tiller 632; Tiller 714; Tiller 787; Tiller 789; Tiller 793; Tiller 795; Tiller 802; Tiller 807; Tiller 809","1 Hodge 685; Hodge 419, 729, 854; Tiller 645; Tiller 662; Trigger 745",1795/08/03 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/656/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=47",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Michigan 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=29,,,,,,,,
5,21,21,60493.8571803689,115471244.831892,3,21,21,Michigan 1,MI,"Emmet; Mackinac","MI:Emmet; MI:Mackinac","Chippewa; Delaware; Eel River; Kaskaskia; Kickapoo; Miami; Ottawa; Piankishaw; Potawatomi; Shawnee; Wea; Wyandot","Absentee-Shawnee Tribe of Indians of Oklahoma; Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Chippewa Cree Indians of the Rocky Boy's Reservation, Montana; Citizen Potawatomi Nation, Oklahoma; Delaware Nation, Oklahoma; Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota; Forest County Potawatomi Community, Wisconsin; Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Hannahville Indian Community, Michigan; Keweenaw Bay Indian Community, Michigan; Kickapoo Traditional Tribe of Texas; Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas; Kickapoo Tribe of Oklahoma; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan; Miami Tribe of Oklahoma; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Minnesota Chippewa Tribe, Minnesota; Nottawaseppi Huron Band of the Potawatomi, Michigan; Ottawa Tribe of Oklahoma; Peoria Tribe of Indians of Oklahoma; Pokagon Band of Potawatomi Indians, Michigan and Indiana; Prairie Band Potawatomi Nation, Kansas; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; Red Lake Band of Chippewa Indians, Minnesota; Saginaw Chippewa Indian Tribe of Michigan; Sault Ste. Marie Tribe of Chippewa Indians of Michigan; Shawnee Tribe, Oklahoma; Sokaogon Chippewa Community, Wisconsin; St. Croix Chippewa Indians of Wisconsin; Turtle Mountain Band of Chippewa Indians of North Dakota; White Earth Band of Minnesota Chippewa Tribe, Minnesota; Wyandotte Nation, Oklahoma","1 Hodge 661-62; 2 Hodge 977; 1 Hodge 589-90; Clark 64; Tiller 402; Tiller 404; Tiller 427; Tiller 428; Tiller 430; Tiller 431; Tiller 433; Tiller 434; Tiller 439; Tiller 440; Tiller 441; Tiller 443; Tiller 445; Tiller 447; Tiller 449; Tiller 451; Tiller 455; Tiller 460; Tiller 464; Tiller 488; Tiller 597; Tiller 601; Tiller 616; Tiller 623; Tiller 632; Tiller 714; Tiller 787; Tiller 789; Tiller 793; Tiller 795; Tiller 802; Tiller 807; Tiller 809","1 Hodge 685; Hodge 419, 729, 854; Tiller 645; Tiller 662; Trigger 745",1795/08/03 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/656/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=47",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Michigan 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=29,,,,,,,,
6,113,113,19104.7719655392,13057055.7600238,4,113,113,Michigan 1,MI,Mackinac,MI:Mackinac,"Chippewa; Ottawa","Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Chippewa Cree Indians of the Rocky Boy's Reservation, Montana; Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota; Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Keweenaw Bay Indian Community, Michigan; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Minnesota Chippewa Tribe, Minnesota; Ottawa Tribe of Oklahoma; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; Red Lake Band of Chippewa Indians, Minnesota; Saginaw Chippewa Indian Tribe of Michigan; Sault Ste. Marie Tribe of Chippewa Indians of Michigan; Sokaogon Chippewa Community, Wisconsin; St. Croix Chippewa Indians of Wisconsin; Turtle Mountain Band of Chippewa Indians of North Dakota; White Earth Band of Minnesota Chippewa Tribe, Minnesota","Tiller 427; Tiller 428; Tiller 431; Tiller 433; Tiller 434; Tiller 443; Tiller 445; Tiller 447; Tiller 449; Tiller 451; Tiller 455; Tiller 460; Tiller 464; Tiller 488; Tiller 597; Tiller 787; Tiller 793; Tiller 795; Tiller 802; Tiller 807; Tiller 809",Trigger 745,1820/07/06 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/700/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=196",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Michigan 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=29,,,,,,,,
7,22,22,37347.0984303447,57759705.5871393,5,22,22,Michigan 1,MI,Mackinac,MI:Mackinac,"Chippewa; Delaware; Eel River; Kaskaskia; Kickapoo; Miami; Ottawa; Piankishaw; Potawatomi; Shawnee; Wea; Wyandot","Absentee-Shawnee Tribe of Indians of Oklahoma; Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Chippewa Cree Indians of the Rocky Boy's Reservation, Montana; Citizen Potawatomi Nation, Oklahoma; Delaware Nation, Oklahoma; Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota; Forest County Potawatomi Community, Wisconsin; Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Hannahville Indian Community, Michigan; Keweenaw Bay Indian Community, Michigan; Kickapoo Traditional Tribe of Texas; Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas; Kickapoo Tribe of Oklahoma; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan; Miami Tribe of Oklahoma; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Minnesota Chippewa Tribe, Minnesota; Nottawaseppi Huron Band of the Potawatomi, Michigan; Ottawa Tribe of Oklahoma; Peoria Tribe of Indians of Oklahoma; Pokagon Band of Potawatomi Indians, Michigan and Indiana; Prairie Band Potawatomi Nation, Kansas; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; Red Lake Band of Chippewa Indians, Minnesota; Saginaw Chippewa Indian Tribe of Michigan; Sault Ste. Marie Tribe of Chippewa Indians of Michigan; Shawnee Tribe, Oklahoma; Sokaogon Chippewa Community, Wisconsin; St. Croix Chippewa Indians of Wisconsin; Turtle Mountain Band of Chippewa Indians of North Dakota; White Earth Band of Minnesota Chippewa Tribe, Minnesota; Wyandotte Nation, Oklahoma","1 Hodge 661-62; 2 Hodge 977; 1 Hodge 589-90; Clark 64; Tiller 402; Tiller 404; Tiller 427; Tiller 428; Tiller 430; Tiller 431; Tiller 433; Tiller 434; Tiller 439; Tiller 440; Tiller 441; Tiller 443; Tiller 445; Tiller 447; Tiller 449; Tiller 451; Tiller 455; Tiller 460; Tiller 464; Tiller 488; Tiller 597; Tiller 601; Tiller 616; Tiller 623; Tiller 632; Tiller 714; Tiller 787; Tiller 789; Tiller 793; Tiller 795; Tiller 802; Tiller 807; Tiller 809","1 Hodge 685; Hodge 419, 729, 854; Tiller 645; Tiller 662; Trigger 745",1795/08/03 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/656/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=47",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Michigan 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=29,,,,,,,,
8,206,206,105660.296431777,151762761.830254,6,206,206,Michigan 1,MI,Grand Traverse,MI:Grand Traverse,"Chippewa; Ottawa","Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Chippewa Cree Indians of the Rocky Boy's Reservation, Montana; Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota; Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Keweenaw Bay Indian Community, Michigan; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Minnesota Chippewa Tribe, Minnesota; Ottawa Tribe of Oklahoma; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; Red Lake Band of Chippewa Indians, Minnesota; Saginaw Chippewa Indian Tribe of Michigan; Sault Ste. Marie Tribe of Chippewa Indians of Michigan; Sokaogon Chippewa Community, Wisconsin; St. Croix Chippewa Indians of Wisconsin; Turtle Mountain Band of Chippewa Indians of North Dakota; White Earth Band of Minnesota Chippewa Tribe, Minnesota","Tiller 427; Tiller 428; Tiller 431; Tiller 433; Tiller 434; Tiller 443; Tiller 445; Tiller 447; Tiller 449; Tiller 451; Tiller 455; Tiller 460; Tiller 464; Tiller 488; Tiller 597; Tiller 787; Tiller 793; Tiller 795; Tiller 802; Tiller 807; Tiller 809",Trigger 745,1836/03/28 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/756/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=458",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Michigan 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=29,,,,,,,,
9,207,207,131586.217396665,677265262.286014,7,207,207,Michigan 1,MI,Manistee,MI:Manistee,"Chippewa; Ottawa","Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Chippewa Cree Indians of the Rocky Boy's Reservation, Montana; Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota; Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Keweenaw Bay Indian Community, Michigan; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Minnesota Chippewa Tribe, Minnesota; Ottawa Tribe of Oklahoma; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; Red Lake Band of Chippewa Indians, Minnesota; Saginaw Chippewa Indian Tribe of Michigan; Sault Ste. Marie Tribe of Chippewa Indians of Michigan; Sokaogon Chippewa Community, Wisconsin; St. Croix Chippewa Indians of Wisconsin; Turtle Mountain Band of Chippewa Indians of North Dakota; White Earth Band of Minnesota Chippewa Tribe, Minnesota","Tiller 427; Tiller 428; Tiller 431; Tiller 433; Tiller 434; Tiller 443; Tiller 445; Tiller 447; Tiller 449; Tiller 451; Tiller 455; Tiller 460; Tiller 464; Tiller 488; Tiller 597; Tiller 787; Tiller 793; Tiller 795; Tiller 802; Tiller 807; Tiller 809",Trigger 745,1836/03/28 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/756/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=458",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Michigan 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=29,,,,,,,,
10,241,241,41931.3588626334,83889869.4346863,8,241,241,Michigan 1,MI,Saginaw,MI:Saginaw,"Chippewa, Saginaw tribe",Saginaw Chippewa Indian Tribe of Michigan,,,1819/09/24 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/700/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=490",1837/01/14 12:00:00+00,https://archive.org/stream/annualreportofbu218smit#page/764/mode/2up,"https://babel.hathitrust.org/cgi/pt?id=uc1.31210003349790;view=1up;seq=490",1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,1970/01/01 00:00:00+00,,,Michigan 1,,,,,,https://www.loc.gov/resource/g3701em.gct00002/?sp=29,,,,,,,,
