Organization Term Name,Variant Organization Name(s) (each term separated by ;),Catalog URL
Agua Caliente Band of Cahuilla Indians,"Agua Caliente Band of Mission Indians; Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California; Agua-Caliente Band of Cahuilla Indians (Palm Springs), Agua-Caliente Indian Reservation, California; Agua Calienta Band of Indians; Agua Caliente Band; Agua Caliente Band of Mission Indians in California",https://catalog.archives.gov/id/10444184
Assiniboine Indians,Assiniboin Indians; Nakota Indians; Stoney Indians; Stony Indians,https://catalog.archives.gov/id/175776440
"Augustine Band of Cahuilla Indians, California",Augustine Band of Cahuilla Indians,https://catalog.archives.gov/id/178931159
Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,Blackfeet Indian Tribe,https://catalog.archives.gov/id/175776227
"Cabazon Band of Mission Indians, California",Cabazon Band of Mission Indians; Cabazon Band of Cahuilla Mission Indians of the Cabazon Reservation,https://catalog.archives.gov/id/178931172
Caddo Nation of Oklahoma,Caddo Nation,https://catalog.archives.gov/id/175776601
Campo Kumeyaay Nation,"Campo Band of Diegueno Mission Indians; Campo Band of Diegueno Mission Indians of the Campo Indian Reservation, California; Campo Band of Kumeyaay Indians",https://catalog.archives.gov/id/178931183
Cherokee Nation,N/A,https://catalog.archives.gov/id/10445840
Cheyenne River Sioux Tribe,Cheyenne River Lakota Nation (Oyate),https://catalog.archives.gov/id/10444557
"Cheyenne and Arapaho Tribes, Oklahoma","Cheyenne; Cheyenne and Arapaho Tribes
",https://catalog.archives.gov/id/175776450
"Chippewa Cree Tribe of the Rocky Boy's Reservation, Montana","Chippewa Cree Tribe of the Rocky Boy's Reservation; Chippewa-Cree Tribe; Chippewa Cree Tribe of Rocky Boy, Montana; Chippewa and Cree Bands of Chief Rocky Boy; Chippewa Cree Tribe of the Rocky Boy's Reservation in Montana; Chippewa Cree Tribe of the Rocky Boy Reservation; Rocky Boy's Band of Chippewas",https://catalog.archives.gov/id/10442583
Chippewa Tribe,N/A,https://catalog.archives.gov/id/10440787
Colorado River Indian Tribes,"Colorado River Indian Tribes of the Colorado River Indian Reservation, Arizona and California; Colorado River Indian Tribes of the Colorado River Reservation; Mojave and Chemehuevi Tribes; Colorado River Tribes
",https://catalog.archives.gov/id/178931203
"Confederated Salish & Kootenai Tribes of the Flathead Reservation, Montana","Salish Indians; Confederated Salish and Kootenai Tribes; Salish and Kootenai Tribes
",https://catalog.archives.gov/id/176215669
Confederated Tribes and Bands of the Yakama Nation,Yakama Indian Nation; Yakama Nation; Yakima Nation,https://catalog.archives.gov/id/10446355
Confederated Tribes of Warm Springs,"Confederated Tribes of the Warm Springs Reservation of Oregon; Confederated Tribes of the Warm Springs Reservation (Walla Walla and Cayuga), Oregon; Confederated Tribes within the Boundaries of the Warm Springs Reservation; Confederated Tribes of Warm Springs Reservation of Oregon (Warm Springs, Wasco, and Paiute); Confederated Tribes of Warm Springs Reservation of Oregon (Wasco, Walla Walla, and Paiute)",https://catalog.archives.gov/id/178931244
"Confederated Tribes of the Colville Reservation, Washington",Colville Confederated Tribes,https://catalog.archives.gov/id/175776245
Crow Creek Sioux Tribe,N/A,https://catalog.archives.gov/id/10444556
Crow Tribe of Montana,Crow Tribe; Absarokee (Tribe); Children of the Large-beaked Bird (Tribe); Crow Indian Tribe; Crow Tribe of Indians,https://catalog.archives.gov/id/175776526
Delaware Tribe of Indians,Delawares; Delaware Tribe; Delaware Nation; Delaware Nation of Indians,https://catalog.archives.gov/id/175776606
"Duckwater Shoshone Tribe of the Duckwater Reservation, Nevada",Duckwater Shoshone Tribe,https://catalog.archives.gov/id/175776240
Fallon Paiute-Shoshone Tribe ,"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada
",https://catalog.archives.gov/id/176215671
Fort Yuma Quechan Indian Tribe,"Quechan Tribe of the Fort Yuma Indian Reservation; Kwatsaan Tribe; Quechan Tribe; Ft. Yuma Quechan Indians; Quechan Tribe of the Fort Yuma Reservation, California; Quechan Indian Tribe of the Fort Yuma Indian Reservation, California; Fort Yuma-Quechan Tribe ; Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona",https://catalog.archives.gov/id/178959466
